"As áreas que podem utilizar o Watson?",Aplicacao
"Em que setores é utilizado o Watson?",Aplicacao
"Onde o Watson pode ser utilizado?",Aplicacao
"Para que serve o Watson?",Aplicacao
"Que áreas podem se beneficiar mais da computação cognitiva?",Aplicacao
"Durante o curso serei avaliado?",Avaliacao
"No final do curso serei avaliado?",Avaliacao
"Qual a será o critério de avaliação do curso?",Avaliacao
"Terei avaliação no curso?",Avaliacao


"O curso tem certificado?",Certificado
"Terei certificado ao final do curso?",Certificado
"Terei certificado no fim do curso?",Certificado

"Qual a configuração necessária para assistir a vídeo-aula?",Configuracao
"Qual a configuração necessária para assistir o EAD?",Configuracao
"Qual configuração necessária para assistir a aula?",Configuracao

"O curso tem duração de quantas horas?",Duracao
"Por quanto tempo é o curso?",Duracao
"Qual a carga horária do curso?",Duracao
"Qual a duração do curso?",Duracao
"Quanto tempo é o curso?",Duracao

"Como matriculo ao curso?",Pagamento
"Como posso me matricular no curso?",Pagamento
"Como realizo o pagamento do curso?",Pagamento
"Em quantas vezes posso parcelar?",Pagamento
"O curso tem mensalidades?",Pagamento
"Posso parcelar o curso?",Pagamento
"Quais são as formas de pagamento do curso?",Pagamento
"Quando poderei iniciar o curso?",Pagamento

"Quantas vezes posso rever essa aula?",Revisao
"Quantas vezes posso rever essas aulas?",Revisao


"Do que se trata o curso?",Sobre_Curso
"O que abordará o curso?",Sobre_Curso
"Qual a visão geral do curso?",Sobre_Curso
"Qual é o alvo do curso?",Sobre_Curso
"Qual o objetivo do curso?",Sobre_Curso
"Qual o propósito do curso?",Sobre_Curso
"Que pretensão posso ter do curso?",Sobre_Curso
